arch/x86/kernel/probe_roms_32;5056;16267;6594;86;0;0;1141;10786;2203;148;0;0;0;0
arch/x86/kernel/process;5334;23950;9462;108;0;0;982;9876;2096;81;0;0;1;1
arch/x86/kernel/ptrace;5676;21407;7887;171;0;0;1044;10562;2324;82;0;0;0;0
arch/x86/kernel/pvclock;4370;15097;8130;104;0;0;1296;7948;1723;231;0;0;0;0
arch/x86/kernel/quirks;5592;21264;9209;723;0;0;1296;8019;1831;153;0;0;0;0
arch/x86/kernel/reboot;6211;23794;8242;286;0;0;1019;9388;2148;93;0;0;0;0
arch/x86/kernel/reboot_fixups_32;5614;20447;9182;127;0;0;1471;9772;2233;174;0;0;0;0
arch/x86/kernel/rtc;5048;20663;7549;89;0;0;1056;9033;2038;65;0;0;1;1
arch/x86/kernel/scx200_32;4810;17141;8164;94;0;0;1306;7281;1670;137;0;0;2;2
arch/x86/kernel/setup;6238;26169;9289;98;0;0;1719;13312;2987;100;0;0;5;1
arch/x86/kernel/setup_percpu;6031;26035;7160;95;0;0;1103;9768;2139;95;0;0;2;2
arch/x86/kernel/sfi;7875;33092;14951;150;0;0;987;8780;2035;65;0;0;0;0
arch/x86/kernel/signal;4837;19430;0;0;0;0;1103;9827;2139;90;0;0;1;0
arch/x86/kernel/smp;5701;27399;8134;101;0;0;1038;10198;2187;89;0;0;1;1
arch/x86/kernel/smpboot;4908;19031;7821;103;0;0;1629;11946;2691;129;0;0;2;1
arch/x86/kernel/stacktrace;4219;14913;6811;109;0;0;939;7713;1722;93;0;0;0;0
arch/x86/kernel/step;4940;16800;7066;87;0;0;1007;8470;1934;67;0;0;0;0
arch/x86/kernel/sys_i386_32;5343;15995;5707;86;0;0;1400;10737;2382;69;0;0;0;1
arch/x86/kernel/tboot;5960;23189;11117;97;0;0;1026;11484;2313;94;0;0;0;0
arch/x86/kernel/test_nx;4337;13657;8774;90;0;0;1168;6670;1492;81;0;0;6;0
arch/x86/kernel/test_rodata;4811;18087;8566;102;0;0;1632;8353;2321;170;0;0;0;0
arch/x86/kernel/time;5343;23283;8138;150;0;0;1093;7983;1917;145;0;0;0;0
arch/x86/kernel/tls;4157;14810;7338;71;0;0;928;7616;1795;76;0;0;0;0
arch/x86/kernel/topology;4290;16426;7283;104;0;0;1656;7694;1928;72;0;0;0;0
arch/x86/kernel/trampoline;3649;12745;9051;93;0;0;928;5270;990;135;0;0;0;0
arch/x86/kernel/traps;8362;39002;14998;120;0;0;1085;10451;2193;106;0;0;0;0
arch/x86/kernel/tsc;4956;18372;6594;88;0;0;1033;8842;2118;93;0;0;0;0
arch/x86/kernel/tsc_sync;4228;14566;6945;81;0;0;1209;8862;2165;81;0;0;0;0
arch/x86/kernel/vm86_32;6487;31434;15573;119;0;0;1383;8629;0;0;0;0;0;1
arch/x86/kernel/vmi_32;5991;26643;13062;97;0;0;988;9870;2326;85;0;0;0;21
arch/x86/kernel/vmiclock_32;5366;24730;12343;188;0;0;1574;7833;1839;120;0;0;0;0
arch/x86/kernel/x86_init;5750;23776;9766;265;0;0;959;7476;1759;126;0;0;0;0
arch/x86/kernel/xsave;6111;24359;9644;81;0;0;1035;7515;1786;91;0;0;0;0
arch/x86/kvm/emulate;6420;28156;0;0;0;0;1750;11516;2562;86;0;0;1;0
arch/x86/kvm/i8254;6154;27280;12889;112;0;0;1453;8343;1975;80;0;0;0;0
